,영화명,mean_score,sqr_mean_score,abs_mean_score
40,바람 바람 바람,-1.1403137880081926,20.552499166920388,2.5535849589882114
41,박열,-0.5850254829316691,21.25612421121103,2.546989326324263
42,범블비,-0.1501367300254212,8.64864339840176,1.223155713632292
43,범죄도시,-0.6159381731523268,10.649540265901566,1.7632406122354174
44,베놈,0.42790565357279176,2.692663063849448,0.8962727111696103
45,보스 베이비,0.591119707688921,6.95459597253375,1.3199393439679714
46,보안관,0.0825426995238053,3.099805138920136,1.0158760328571388
47,보헤미안 랩소디,-0.15196029641873135,9.210000748116487,1.613551936730848
48,부라더,-0.710859039972305,30.96631306226476,2.2381389936766345
49,분노의 질주: 더 익스트림,0.6862929203676054,13.681459383614278,1.942702250547357
50,브이아이피,-3.9537672969380986,78.76766324219835,4.833525434946408
51,블랙 팬서,-0.6976924743217159,60.71698992370589,3.9348436350327036
52,사라진 밤,1.1998680096479222,13.199812208080994,2.00466507887634
53,살인자의 기억법,3.201233042811334,78.25083785295031,4.441099791442561
54,서치,1.9940561101236862,15.235480119752708,2.214112089790146
55,성난황소,0.8623956234139891,9.717940717379962,1.955925789992951
56,슈퍼배드 3,1.4837301238891674,9.751270195147045,2.0534963674008377
57,스윙키즈,-0.7472449120061585,16.957296677597014,1.4361053263970045
58,스파이더맨: 홈 커밍,0.2591760776740285,4.998733794245708,1.282514477326571
59,신과함께-인과 연,-0.707422540094919,8.522233107502801,1.3744409273536533
60,신과함께-죄와 벌,0.6083505221910758,6.2225576609400495,1.5088994154505497
61,신비한 동물들과 그린델왈드의 범죄,-0.6830546797472371,10.746989988952338,1.988106070652991
62,아이 캔 스피크,-0.4205855756890602,20.74319736867495,2.586109650614089
63,안시성,1.9652426053150005,21.35468349531231,2.5981709071098678
64,암수살인,-3.102435364191765,77.96691517044479,4.397598782194849
65,애나벨 : 인형의 주인,-0.02726891260817106,8.228640817764797,1.351523507833118
66,앤트맨과 와스프,-0.8683227824996539,9.867455522886896,1.5758541448390637
67,어벤져스: 인피니티 워,-0.5021105393670388,2.821167186161611,0.9188587677240799
68,에이리언: 커버넌트,3.2139491742525346,54.848460362338734,3.506497032862762
69,오션스8,2.3400512677599927,34.799784925606644,2.7295978429644863
70,완벽한 타인,-2.3620117446758617,51.95707926511615,2.883180357434528
71,원더 우먼,3.1594001687011293,53.43797810413108,3.4501869836432757
72,인크레더블 2,0.32458125130469295,12.027656357386464,1.8905054423732672
73,임금님의 사건수첩,4.208567676641692,87.82683005923639,4.406348923633515
74,재심,-0.055406574131876246,10.01171776283079,2.069314617121372
75,저스티스 리그,2.610716940977229,39.98723150275635,2.9782634307483997
76,조선명탐정: 흡혈괴마의 비밀,-2.3969576753610635,114.56945904671993,3.3724967458343578
77,조작된 도시,-0.15345161650462383,3.427231213139241,0.8285459524328168
